chunk_id,source_file,doc_group,doc_type,chunk_type,section,question,page_start,page_end,char_count,content_preview
f84702757f09462695f6e1608a780add,E:\GwyPilot\GwyPilot\data\中华人民共和国公务员法.pdf,policy_qa,other_policy,policy_section,,,1,1,336,中华人民共和国公务员法发布日期：2025-10-14（2005年4月27日第十届全国人民代表大会常务委员会第十五次会议通过 根据2017年9月1日第十二届全国人民代表大会常务委员会第二十九次会议《关于修改〈中华人民共和国法官法〉等八部法律的决定》修正 2018年12月29日第十三届全国人民代表大会常务委员会第七次会议修订）目 录第一章 总 则第二章 公务员的条件、义务与权利第三章 职务、职级与级别第四章 录 用第五章 考 核第六章 职务、职级任免第七章 职务、职级升降第...
1811a4cf4afd461d80d11dc0ac2d39d4,E:\GwyPilot\GwyPilot\data\中华人民共和国公务员法.pdf,policy_qa,other_policy,policy_section,,,2,2,909,第一章 总 则第一条 为了规范公务员的管理，保障公务员的合法权益，加强对公务员的监督，促进公务员正确履职尽责，建设信念坚定、为民服务、勤政务实、敢于担当、清正廉洁的高素质专业化公务员队伍，根据宪法，制定本法。 第二条 本法所称公务员，是指依法履行公职、纳入国家行政编制、由国家财政负担工资福利的工作人员。 公务员是干部队伍的重要组成部分，是社会主义事业的中坚力量，是人民的公仆。 第三条 公务员的义务、权利和管理，适用本法。 法律对公务员中领导成员的产生、任免、监督以及监察...
96bebe096ddf4d2f93da2a3e8a79a285,E:\GwyPilot\GwyPilot\data\中华人民共和国公务员法.pdf,policy_qa,other_policy,policy_section,,,3,3,752,（六）具有符合职位要求的文化程度和工作能力； （七）法律规定的其他条件。 第十四条 公务员应当履行下列义务： （一）忠于宪法，模范遵守、自觉维护宪法和法律，自觉接受中国共产党领导； （二）忠于国家，维护国家的安全、荣誉和利益； （三）忠于人民，全心全意为人民服务，接受人民监督； （四）忠于职守，勤勉尽责，服从和执行上级依法作出的决定和命令，按照规定的权限和程序履行职责，努力提高工作质量和效率； （五）保守国家秘密和工作秘密； （六）带头践行社会主义核心价值观，坚守法治，...
3ecb48ef0b0e4efeacee3550bfcf9e2a,E:\GwyPilot\GwyPilot\data\中华人民共和国公务员法.pdf,policy_qa,other_policy,policy_section,,,4,4,1041,综合管理类公务员职级序列分为：一级巡视员、二级巡视员、一级调研员、二级调研员、三级调研员、四级调研员、一级主任科员、二级主任科员、三级主任科员、四级主任科员、一级科员、二级科员。 综合管理类以外其他职位类别公务员的职级序列，根据本法由国家另行规定。 第二十条 各机关依照确定的职能、规格、编制限额、职数以及结构比例，设置本机关公务员的具体职位，并确定各职位的工作职责和任职资格条件。 第二十一条 公务员的领导职务、职级应当对应相应的级别。公务员领导职务、职级与级别的对应关系...
009d8639e4a944f89f9851c947ffc594,E:\GwyPilot\GwyPilot\data\中华人民共和国公务员法.pdf,policy_qa,other_policy,policy_section,,,5,5,986,第二十九条 招录机关根据报考资格条件对报考申请进行审查。报考者提交的申请材料应当真实、准确。 第三十条 公务员录用考试采取笔试和面试等方式进行，考试内容根据公务员应当具备的基本能力和不同职位类别、不同层级机关分别设置。 第三十一条 招录机关根据考试成绩确定考察人选，并进行报考资格复审、考察和体检。 体检的项目和标准根据职位要求确定。具体办法由中央公务员主管部门会同国务院卫生健康行政部门规定。 第三十二条 招录机关根据考试成绩、考察情况和体检结果，提出拟录用人员名单，并予...
56f93521a021494fb7edde12f14c2201,E:\GwyPilot\GwyPilot\data\中华人民共和国公务员法.pdf,policy_qa,other_policy,policy_section,,,6,6,800,第四十三条 公务员任职应当在规定的编制限额和职数内进行，并有相应的职位空缺。 第四十四条 公务员因工作需要在机关外兼职，应当经有关机关批准，并不得领取兼职报酬。 第七章 职务、职级升降第四十五条 公务员晋升领导职务，应当具备拟任职务所要求的政治素质、工作能力、文化程度和任职经历等方面的条件和资格。 公务员领导职务应当逐级晋升。特别优秀的或者工作特殊需要的，可以按照规定破格或者越级晋升。 第四十六条 公务员晋升领导职务，按照下列程序办理： （一）动议； （二）民主推荐； ...
1ac186bf15264d628f259434e174932b,E:\GwyPilot\GwyPilot\data\中华人民共和国公务员法.pdf,policy_qa,other_policy,policy_section,,,7,7,887,（四）为增进民族团结，维护社会稳定做出突出贡献的； （五）爱护公共财产，节约国家资财有突出成绩的； （六）防止或者消除事故有功，使国家和人民群众利益免受或者减少损失的； （七）在抢险、救灾等特定环境中做出突出贡献的； （八）同违纪违法行为作斗争有功绩的； （九）在对外交往中为国家争得荣誉和利益的； （十）有其他突出功绩的。 第五十三条 奖励分为：嘉奖、记三等功、记二等功、记一等功、授予称号。 对受奖励的公务员或者公务员集体予以表彰，并对受奖励的个人给予一次性奖金或者其他...
d1691f0e881b459d9bd70b4ec93a12a1,E:\GwyPilot\GwyPilot\data\中华人民共和国公务员法.pdf,policy_qa,other_policy,policy_section,,,8,8,1026,（八）贪污贿赂，利用职务之便为自己或者他人谋取私利； （九）违反财经纪律，浪费国家资财； （十）滥用职权，侵害公民、法人或者其他组织的合法权益； （十一）泄露国家秘密或者工作秘密； （十二）在对外交往中损害国家荣誉和利益； （十三）参与或者支持色情、吸毒、赌博、迷信等活动； （十四）违反职业道德、社会公德和家庭美德； （十五）违反有关规定参与禁止的网络传播行为或者网络活动； （十六）违反有关规定从事或者参与营利性活动，在企业或者其他营利性组织中兼任职务； （十七）旷工或...
92091edc483a413a90b8cd73bd323999,E:\GwyPilot\GwyPilot\data\中华人民共和国公务员法.pdf,policy_qa,other_policy,policy_section,,,9,9,1018,第六十六条 机关根据公务员工作职责的要求和提高公务员素质的需要，对公务员进行分类分级培训。 国家建立专门的公务员培训机构。机关根据需要也可以委托其他培训机构承担公务员培训任务。 第六十七条 机关对新录用人员应当在试用期内进行初任培训；对晋升领导职务的公务员应当在任职前或者任职后一年内进行任职培训；对从事专项工作的公务员应当进行专门业务培训；对全体公务员应当进行提高政治素质和工作能力、更新知识的在职培训，其中对专业技术类公务员应当进行专业技术培训。 国家有计划地加强对优秀...
3d2af2677beb4769b657bc7c2adb2923,E:\GwyPilot\GwyPilot\data\中华人民共和国公务员法.pdf,policy_qa,other_policy,policy_section,,,10,10,1002,公务员不得在其配偶、子女及其配偶经营的企业、营利性组织的行业监管或者主管部门担任领导成员。 因地域或者工作性质特殊，需要变通执行任职回避的，由省级以上公务员主管部门规定。 第七十五条 公务员担任乡级机关、县级机关、设区的市级机关及其有关部门主要领导职务的，应当按照有关规定实行地域回避。 第七十六条 公务员执行公务时，有下列情形之一的，应当回避： （一）涉及本人利害关系的； （二）涉及与本人有本法第七十四条第一款所列亲属关系人员的利害关系的； （三）其他可能影响公正执行公...
